date,state,rate
2021/1/12,Alabama,0.15
2021/1/13,Alabama,0.19
2021/1/14,Alabama,0.24
2021/1/15,Alabama,0.28
2021/1/16,Alabama,0.29
2021/1/17,Alabama,0.3
2021/1/18,Alabama,0.31
2021/1/19,Alabama,0.33
2021/1/20,Alabama,0.37
2021/1/21,Alabama,0.44
2021/1/22,Alabama,0.51
2021/1/23,Alabama,0.56
2021/1/24,Alabama,0.61
2021/1/25,Alabama,0.61
2021/1/26,Alabama,0.63
2021/1/27,Alabama,0.69
2021/1/28,Alabama,0.76
2021/1/29,Alabama,0.9
2021/1/30,Alabama,1.1
2021/1/31,Alabama,1.13
2021/2/1,Alabama,1.15
2021/2/2,Alabama,1.2
2021/2/3,Alabama,1.28
2021/2/4,Alabama,1.41
2021/2/5,Alabama,1.56
2021/2/6,Alabama,1.72
2021/2/7,Alabama,1.76
2021/2/8,Alabama,1.8
2021/2/9,Alabama,1.94
2021/2/10,Alabama,2.09
2021/2/11,Alabama,2.26
2021/2/12,Alabama,2.49
2021/2/13,Alabama,2.71
2021/2/14,Alabama,2.79
2021/2/15,Alabama,2.9
2021/2/16,Alabama,3.04
2021/2/17,Alabama,3.15
2021/2/18,Alabama,3.37
2021/2/19,Alabama,3.92
2021/2/20,Alabama,4.37
2021/2/21,Alabama,4.48
2021/2/22,Alabama,4.65
2021/2/23,Alabama,4.88
2021/2/24,Alabama,5.17
2021/2/25,Alabama,5.48
2021/2/26,Alabama,5.83
2021/2/27,Alabama,6.28
2021/2/28,Alabama,6.39
2021/3/1,Alabama,6.45
2021/3/2,Alabama,6.73
2021/3/3,Alabama,7.07
2021/3/4,Alabama,7.45
2021/3/5,Alabama,7.81
2021/3/6,Alabama,8.2
2021/3/7,Alabama,8.3
2021/3/8,Alabama,8.36
2021/3/9,Alabama,8.57
2021/3/10,Alabama,8.87
2021/3/11,Alabama,9.23
2021/3/12,Alabama,9.63
2021/3/13,Alabama,10.05
2021/3/14,Alabama,10.15
2021/3/15,Alabama,10.22
2021/3/16,Alabama,10.44
2021/3/17,Alabama,10.68
2021/3/18,Alabama,10.88
2021/3/19,Alabama,11.16
2021/3/20,Alabama,11.45
2021/3/21,Alabama,11.56
2021/3/22,Alabama,11.61
2021/3/23,Alabama,11.82
2021/3/24,Alabama,12.03
2021/3/25,Alabama,12.25
2021/3/26,Alabama,12.48
2021/3/27,Alabama,12.71
2021/3/28,Alabama,12.82
2021/3/29,Alabama,12.88
2021/3/30,Alabama,13.12
2021/3/31,Alabama,13.4
2021/4/1,Alabama,13.74
2021/4/2,Alabama,14.09
2021/4/3,Alabama,14.38
2021/4/4,Alabama,14.48
2021/4/5,Alabama,14.51
2021/4/6,Alabama,14.79
2021/4/7,Alabama,15.19
2021/4/8,Alabama,15.59
2021/4/9,Alabama,16.08
2021/4/10,Alabama,16.55
2021/4/11,Alabama,16.71
2021/4/12,Alabama,16.81
2021/4/13,Alabama,17.22
2021/4/14,Alabama,17.71
2021/4/15,Alabama,18.21
2021/4/16,Alabama,18.67
2021/4/17,Alabama,19.08
2021/4/18,Alabama,19.24
2021/4/19,Alabama,19.3
2021/4/20,Alabama,19.71
2021/4/21,Alabama,20.14
2021/4/22,Alabama,20.61
2021/4/23,Alabama,21.09
2021/4/24,Alabama,21.51
2021/4/25,Alabama,21.67
2021/4/26,Alabama,21.75
2021/4/27,Alabama,22.02
2021/4/28,Alabama,22.41
2021/4/29,Alabama,22.87
2021/4/30,Alabama,23.32
2021/5/1,Alabama,23.69
2021/1/12,Alaska,0.74
2021/1/13,Alaska,0.84
2021/1/14,Alaska,1.06
2021/1/15,Alaska,1.29
2021/1/16,Alaska,1.34
2021/1/17,Alaska,1.39
2021/1/18,Alaska,1.44
2021/1/19,Alaska,1.48
2021/1/20,Alaska,1.54
2021/1/21,Alaska,1.69
2021/1/22,Alaska,1.88
2021/1/23,Alaska,2.08
2021/1/24,Alaska,2.21
2021/1/25,Alaska,2.28
2021/1/26,Alaska,2.3
2021/1/27,Alaska,2.47
2021/1/28,Alaska,2.74
2021/1/29,Alaska,2.95
2021/1/30,Alaska,3.19
2021/1/31,Alaska,3.36
2021/2/1,Alaska,3.48
2021/2/2,Alaska,3.58
2021/2/3,Alaska,3.76
2021/2/4,Alaska,4.12
2021/2/5,Alaska,4.46
2021/2/6,Alaska,4.89
2021/2/7,Alaska,5.41
2021/2/8,Alaska,5.58
2021/2/9,Alaska,5.7
2021/2/10,Alaska,5.95
2021/2/11,Alaska,6.29
2021/2/12,Alaska,6.69
2021/2/13,Alaska,7.16
2021/2/14,Alaska,7.81
2021/2/15,Alaska,8.07
2021/2/16,Alaska,8.33
2021/2/17,Alaska,8.54
2021/2/18,Alaska,8.92
2021/2/19,Alaska,9.83
2021/2/20,Alaska,10.75
2021/2/21,Alaska,11.25
2021/2/22,Alaska,11.5
2021/2/23,Alaska,11.58
2021/2/24,Alaska,11.87
2021/2/25,Alaska,12.33
2021/2/26,Alaska,12.61
2021/2/27,Alaska,13.03
2021/2/28,Alaska,13.34
2021/3/1,Alaska,13.66
2021/3/2,Alaska,13.79
2021/3/3,Alaska,14
2021/3/4,Alaska,14.23
2021/3/5,Alaska,14.57
2021/3/6,Alaska,15.04
2021/3/7,Alaska,15.55
2021/3/8,Alaska,15.81
2021/3/9,Alaska,16.04
2021/3/10,Alaska,16.28
2021/3/11,Alaska,16.7
2021/3/12,Alaska,16.97
2021/3/13,Alaska,17.31
2021/3/14,Alaska,17.89
2021/3/15,Alaska,18.12
2021/3/16,Alaska,18.3
2021/3/17,Alaska,18.56
2021/3/18,Alaska,18.93
2021/3/19,Alaska,19.16
2021/3/20,Alaska,19.6
2021/3/21,Alaska,19.95
2021/3/22,Alaska,20.08
2021/3/23,Alaska,20.12
2021/3/24,Alaska,20.33
2021/3/25,Alaska,20.64
2021/3/26,Alaska,21.01
2021/3/27,Alaska,21.42
2021/3/28,Alaska,21.9
2021/3/29,Alaska,22
2021/3/30,Alaska,22.08
2021/3/31,Alaska,22.3
2021/4/1,Alaska,22.6
2021/4/2,Alaska,22.91
2021/4/3,Alaska,23.34
2021/4/4,Alaska,24.17
2021/4/5,Alaska,24.45
2021/4/6,Alaska,24.52
2021/4/7,Alaska,24.87
2021/4/8,Alaska,25.51
2021/4/9,Alaska,25.97
2021/4/10,Alaska,26.63
2021/4/11,Alaska,27.17
2021/4/12,Alaska,27.58
2021/4/13,Alaska,30.4
2021/4/14,Alaska,30.77
2021/4/15,Alaska,30.79
2021/4/16,Alaska,31.21
2021/4/17,Alaska,31.63
2021/4/18,Alaska,32.06
2021/4/19,Alaska,32.21
2021/4/20,Alaska,32.36
2021/4/21,Alaska,32.78
2021/4/22,Alaska,33.15
2021/4/23,Alaska,33.45
2021/4/24,Alaska,33.74
2021/4/25,Alaska,33.96
2021/4/26,Alaska,34.04
2021/4/27,Alaska,34.11
2021/4/28,Alaska,34.27
2021/4/29,Alaska,34.86
2021/4/30,Alaska,35.07
2021/5/1,Alaska,35.84
2021/1/12,Arizona,0.11
2021/1/13,Arizona,0.17
2021/1/14,Arizona,0.23
2021/1/15,Arizona,0.29
2021/1/16,Arizona,0.33
2021/1/17,Arizona,0.36
2021/1/18,Arizona,0.39
2021/1/19,Arizona,0.42
2021/1/20,Arizona,0.48
2021/1/21,Arizona,0.57
2021/1/22,Arizona,0.67
2021/1/23,Arizona,0.76
2021/1/24,Arizona,0.8
2021/1/25,Arizona,0.86
2021/1/26,Arizona,0.89
2021/1/27,Arizona,0.95
2021/1/28,Arizona,1.02
2021/1/29,Arizona,1.11
2021/1/30,Arizona,1.2
2021/1/31,Arizona,1.27
2021/2/1,Arizona,1.31
2021/2/2,Arizona,1.33
2021/2/3,Arizona,1.4
2021/2/4,Arizona,1.53
2021/2/5,Arizona,1.67
2021/2/6,Arizona,1.87
2021/2/7,Arizona,2.08
2021/2/8,Arizona,2.22
2021/2/9,Arizona,2.29
2021/2/10,Arizona,2.44
2021/2/11,Arizona,2.65
2021/2/12,Arizona,2.86
2021/2/13,Arizona,3.11
2021/2/14,Arizona,3.37
2021/2/15,Arizona,3.5
2021/2/16,Arizona,3.63
2021/2/17,Arizona,3.68
2021/2/18,Arizona,3.9
2021/2/19,Arizona,4.61
2021/2/20,Arizona,4.89
2021/2/21,Arizona,5.1
2021/2/22,Arizona,5.31
2021/2/23,Arizona,5.4
2021/2/24,Arizona,5.59
2021/2/25,Arizona,5.94
2021/2/26,Arizona,6.35
2021/2/27,Arizona,6.74
2021/2/28,Arizona,7.22
2021/3/1,Arizona,7.64
2021/3/2,Arizona,7.91
2021/3/3,Arizona,8.26
2021/3/4,Arizona,8.62
2021/3/5,Arizona,9.04
2021/3/6,Arizona,9.1
2021/3/7,Arizona,9.82
2021/3/8,Arizona,10.14
2021/3/9,Arizona,10.31
2021/3/10,Arizona,10.54
2021/3/11,Arizona,10.88
2021/3/12,Arizona,11.35
2021/3/13,Arizona,11.8
2021/3/14,Arizona,12.25
2021/3/15,Arizona,12.55
2021/3/16,Arizona,12.91
2021/3/17,Arizona,13.13
2021/3/18,Arizona,13.45
2021/3/19,Arizona,13.49
2021/3/20,Arizona,13.8
2021/3/21,Arizona,14.14
2021/3/22,Arizona,14.41
2021/3/23,Arizona,14.56
2021/3/24,Arizona,14.76
2021/3/25,Arizona,15.23
2021/3/26,Arizona,15.51
2021/3/27,Arizona,15.85
2021/3/28,Arizona,16.25
2021/3/29,Arizona,16.56
2021/3/30,Arizona,16.77
2021/3/31,Arizona,17.07
2021/4/1,Arizona,17.41
2021/4/2,Arizona,17.84
2021/4/3,Arizona,18.3
2021/4/4,Arizona,18.77
2021/4/5,Arizona,19.13
2021/4/6,Arizona,19.23
2021/4/7,Arizona,19.53
2021/4/8,Arizona,19.97
2021/4/9,Arizona,20.55
2021/4/10,Arizona,21.16
2021/4/11,Arizona,21.69
2021/4/12,Arizona,22.01
2021/4/13,Arizona,22.24
2021/4/14,Arizona,22.58
2021/4/15,Arizona,22.95
2021/4/16,Arizona,23.39
2021/4/17,Arizona,23.95
2021/4/18,Arizona,24.46
2021/4/19,Arizona,24.79
2021/4/20,Arizona,25.03
2021/4/21,Arizona,25.44
2021/4/22,Arizona,25.87
2021/4/23,Arizona,26.36
2021/4/24,Arizona,26.87
2021/4/25,Arizona,27.3
2021/4/26,Arizona,27.61
2021/4/27,Arizona,27.86
2021/4/28,Arizona,28.19
2021/4/29,Arizona,28.55
2021/4/30,Arizona,28.95
2021/5/1,Arizona,29.39
2021/1/12,Arkansas,0
2021/1/13,Arkansas,0.43
2021/1/14,Arkansas,0.52
2021/1/15,Arkansas,0.62
2021/1/16,Arkansas,0.64
2021/1/17,Arkansas,0.66
2021/1/18,Arkansas,0.68
2021/1/19,Arkansas,0.72
2021/1/20,Arkansas,0.88
2021/1/21,Arkansas,0.88
2021/1/22,Arkansas,1.05
2021/1/23,Arkansas,1.05
2021/1/24,Arkansas,1.08
2021/1/25,Arkansas,1.1
2021/1/26,Arkansas,1.23
2021/1/27,Arkansas,1.36
2021/1/28,Arkansas,1.36
2021/1/29,Arkansas,1.52
2021/1/30,Arkansas,1.73
2021/1/31,Arkansas,1.86
2021/2/1,Arkansas,1.94
2021/2/2,Arkansas,1.98
2021/2/3,Arkansas,2.1
2021/2/4,Arkansas,2.28
2021/2/5,Arkansas,2.45
2021/2/6,Arkansas,2.7
2021/2/7,Arkansas,2.99
2021/2/8,Arkansas,3.12
2021/2/9,Arkansas,3.15
2021/2/10,Arkansas,3.44
2021/2/11,Arkansas,3.67
2021/2/12,Arkansas,3.93
2021/2/13,Arkansas,4.11
2021/2/14,Arkansas,4.33
2021/2/15,Arkansas,4.43
2021/2/16,Arkansas,4.52
2021/2/17,Arkansas,4.58
2021/2/18,Arkansas,4.66
2021/2/19,Arkansas,5
2021/2/20,Arkansas,5.06
2021/2/21,Arkansas,5.22
2021/2/22,Arkansas,5.36
2021/2/23,Arkansas,5.44
2021/2/24,Arkansas,5.73
2021/2/25,Arkansas,6.12
2021/2/26,Arkansas,6.64
2021/2/27,Arkansas,7.1
2021/2/28,Arkansas,7.54
2021/3/1,Arkansas,7.74
2021/3/2,Arkansas,7.84
2021/3/3,Arkansas,8.05
2021/3/4,Arkansas,8.28
2021/3/5,Arkansas,8.53
2021/3/6,Arkansas,8.79
2021/3/7,Arkansas,9.09
2021/3/8,Arkansas,9.19
2021/3/9,Arkansas,9.27
2021/3/10,Arkansas,9.45
2021/3/11,Arkansas,9.47
2021/3/12,Arkansas,9.85
2021/3/13,Arkansas,10.27
2021/3/14,Arkansas,10.27
2021/3/15,Arkansas,10.38
2021/3/16,Arkansas,10.44
2021/3/17,Arkansas,10.58
2021/3/18,Arkansas,10.75
2021/3/19,Arkansas,10.96
2021/3/20,Arkansas,11.13
2021/3/21,Arkansas,11.43
2021/3/22,Arkansas,11.55
2021/3/23,Arkansas,11.6
2021/3/24,Arkansas,11.84
2021/3/25,Arkansas,12.15
2021/3/26,Arkansas,12.47
2021/3/27,Arkansas,12.88
2021/3/28,Arkansas,13.37
2021/3/29,Arkansas,13.51
2021/3/30,Arkansas,13.59
2021/3/31,Arkansas,13.9
2021/4/1,Arkansas,14.34
2021/4/2,Arkansas,14.9
2021/4/3,Arkansas,15.94
2021/4/4,Arkansas,15.97
2021/4/5,Arkansas,16.15
2021/4/6,Arkansas,16.22
2021/4/7,Arkansas,16.68
2021/4/8,Arkansas,17.19
2021/4/9,Arkansas,17.67
2021/4/10,Arkansas,18.28
2021/4/11,Arkansas,18.8
2021/4/12,Arkansas,18.98
2021/4/13,Arkansas,19.1
2021/4/14,Arkansas,19.56
2021/4/15,Arkansas,20.08
2021/4/16,Arkansas,20.6
2021/4/17,Arkansas,21.07
2021/4/18,Arkansas,21.58
2021/4/19,Arkansas,21.71
2021/4/20,Arkansas,21.83
2021/4/21,Arkansas,22.23
2021/4/22,Arkansas,22.66
2021/4/23,Arkansas,23.15
2021/4/24,Arkansas,23.58
2021/4/25,Arkansas,23.99
2021/4/26,Arkansas,24.22
2021/4/27,Arkansas,24.28
2021/4/28,Arkansas,24.62
2021/4/29,Arkansas,25.02
2021/4/30,Arkansas,25.38
2021/5/1,Arkansas,25.76
2021/1/12,California,0.25
